lon,lat,depth,Time UTC,mag
115.47,-8.29,10,2017-09-24T06:56:19,2.8
115.48,-8.3,10,2017-09-24T07:00:16,2.6
115.46,-8.3,10,2017-09-24T09:07:20,2.8
115.61,-8.14,10,2017-09-24T09:57:22,3.7
115.43,-8.29,15,2017-09-24T10:10:13,2.7
115.46,-8.29,13,2017-09-24T11:29:45,2.7
115.44,-8.32,10,2017-09-24T11:36:21,2.5
115.45,-8.26,13,2017-09-24T11:38:20,2.7
115.45,-8.32,11,2017-09-24T11:42:34,2.6
115.45,-8.33,10,2017-09-24T11:52:19,2.7
115.6,-8.11,13,2017-09-24T12:20:43,2.7
115.49,-8.33,10,2017-09-24T13:15:35,3
115.45,-8.34,10,2017-09-24T15:04:50,3.5
115.47,-8.31,10,2017-09-24T16:36:23,3
115.46,-8.29,10,2017-09-24T17:34:16,2.7
115.52,-8.31,10,2017-09-24T17:59:49,2.9
115.47,-8.31,11,2017-09-24T18:26:54,2.6
115.47,-8.32,10,2017-09-24T21:08:23,2.7
115.47,-8.3,11,2017-09-24T21:31:55,2.7
115.48,-8.29,10,2017-09-24T23:12:58,3.1
115.47,-8.33,10,2017-09-25T00:20:07,2.7
115.49,-8.3,10,2017-09-25T00:25:53,3
115.47,-8.31,10,2017-09-25T00:35:06,2.7
115.48,-8.33,10,2017-09-25T01:19:57,3
115.47,-8.32,10,2017-09-25T01:36:28,2.9
115.5,-8.31,11,2017-09-25T01:54:46,3.1
115.49,-8.3,10,2017-09-25T02:20:09,3
115.47,-8.34,10,2017-09-25T03:10:09,3.3
115.49,-8.31,10,2017-09-25T03:32:03,3.6
115.47,-8.32,10,2017-09-25T03:55:12,2.9
115.46,-8.35,10,2017-09-25T04:06:55,2.8
115.49,-8.32,10,2017-09-25T04:09:42,2.9
115.48,-8.65,114,2017-09-25T04:14:27,3.2
115.47,-8.34,10,2017-09-25T04:22:14,3.1
115.46,-8.34,10,2017-09-25T04:34:35,2.8
115.51,-8.33,10,2017-09-25T04:40:08,3
115.48,-8.33,10,2017-09-25T04:46:37,2.9
115.46,-8.32,10,2017-09-25T04:52:18,3
115.48,-8.31,10,2017-09-25T04:55:22,2.9
115.49,-8.31,10,2017-09-25T05:10:22,3.8
115.49,-8.3,11,2017-09-25T05:19:35,3
115.46,-8.32,10,2017-09-25T05:40:56,3
115.48,-8.33,10,2017-09-25T05:51:06,2.7
115.45,-8.32,10,2017-09-25T05:52:56,2.6
115.47,-8.31,10,2017-09-25T06:08:01,2.8
115.44,-8.33,10,2017-09-25T06:10:15,2.5
115.45,-8.29,13,2017-09-25T06:12:40,2.7
115.45,-8.3,11,2017-09-25T06:17:33,2.6
115.46,-8.3,13,2017-09-25T06:19:24,2.8
115.46,-8.34,10,2017-09-25T07:50:47,2.8
115.49,-8.3,10,2017-09-25T08:29:36,2.6
115.47,-8.34,10,2017-09-25T08:37:55,2.7
115.47,-8.32,10,2017-09-25T09:18:52,2.8
115.53,-8.34,10,2017-09-25T09:34:11,2.7
115.46,-8.31,10,2017-09-25T11:01:21,2.8
115.48,-8.3,10,2017-09-25T11:39:13,3.3
115.5,-8.31,11,2017-09-25T11:43:00,2.7
115.5,-8.32,10,2017-09-25T12:06:56,3
115.48,-8.33,10,2017-09-25T12:09:04,2.7
115.47,-8.29,12,2017-09-25T12:26:51,2.7
